"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Order creation with an invalid ingredient id returns a server error","114","Create order with invalid ingredient hash","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateOrderTest","stellarburgers.CreateOrderTest","createOrderWithInvalidIngredientHashShouldReturnServerError"
"Order creation fails when the ingredients array is empty","106","Create order without ingredients","","Wed May 13 20:47:11 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateOrderTest","stellarburgers.CreateOrderTest","createOrderWithoutIngredientsShouldReturnError"
"A registered user can log in with valid credentials","1087","Login existing user","","Wed May 13 20:47:13 MSK 2026","passed","Wed May 13 20:47:14 MSK 2026","","stellarburgers.LoginUserTest","stellarburgers.LoginUserTest","loginExistingUserShouldBeSuccessful"
"Registering the same user twice returns an error","2492","Create duplicate user","","Wed May 13 20:47:03 MSK 2026","passed","Wed May 13 20:47:06 MSK 2026","","stellarburgers.CreateUserTest","stellarburgers.CreateUserTest","createDuplicateUserShouldReturnError"
"User registration fails when one required field is missing","91","Create user without required field","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateUserRequiredFieldsTest","stellarburgers.CreateUserRequiredFieldsTest","createUserWithoutRequiredFieldShouldReturnError[missing required field #2]"
"An unauthorized user can create an order with a valid ingredient id","191","Create guest order with ingredients","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateOrderTest","stellarburgers.CreateOrderTest","createOrderWithoutAuthorizationShouldBeSuccessful"
"User registration fails when one required field is missing","103","Create user without required field","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateUserRequiredFieldsTest","stellarburgers.CreateUserRequiredFieldsTest","createUserWithoutRequiredFieldShouldReturnError[missing required field #0]"
"A unique user can be registered successfully","908","Create unique user","","Wed May 13 20:47:06 MSK 2026","passed","Wed May 13 20:47:07 MSK 2026","","stellarburgers.CreateUserTest","stellarburgers.CreateUserTest","createUniqueUserShouldBeSuccessful"
"Login with valid email and invalid password returns an authorization error","1100","Login with wrong password","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:13 MSK 2026","","stellarburgers.LoginUserTest","stellarburgers.LoginUserTest","loginWithWrongPasswordShouldReturnError"
"An authorized user can create an order with a valid ingredient id","4574","Create authorized order with ingredients","","Wed May 13 20:47:07 MSK 2026","passed","Wed May 13 20:47:11 MSK 2026","","stellarburgers.CreateOrderTest","stellarburgers.CreateOrderTest","createOrderWithAuthorizationShouldBeSuccessful"
"Login with invalid email and valid password returns an authorization error","1014","Login with wrong email","","Wed May 13 20:47:14 MSK 2026","passed","Wed May 13 20:47:15 MSK 2026","","stellarburgers.LoginUserTest","stellarburgers.LoginUserTest","loginWithWrongEmailShouldReturnError"
"User registration fails when one required field is missing","92","Create user without required field","","Wed May 13 20:47:12 MSK 2026","passed","Wed May 13 20:47:12 MSK 2026","","stellarburgers.CreateUserRequiredFieldsTest","stellarburgers.CreateUserRequiredFieldsTest","createUserWithoutRequiredFieldShouldReturnError[missing required field #1]"
